stationId;name;type;status;latitude;longitude;created;operationFrom;operationTo;validFrom;validTo
20002;Skagen Havn;Tide-gauge-primary;Active;57,7165;10,5951;2020-11-18 08:17:57.055;2012-01-01 00:00:00;n/a;2012-01-01 00:00:00.000;n/a
20043;Hirtshals Havn II;Tide-gauge-secondary;Active;57,5951;9,9625;2020-11-18 08:17:57.055;2014-03-26 00:00:00;n/a;2014-03-26 00:00:00.000;n/a
20047;Hirtshals Havn I;Tide-gauge-primary;Active;57,5951;9,9625;2020-11-18 08:17:57.055;1992-01-07 00:00:00;n/a;1992-01-07 00:00:00.000;n/a
20048;Hirtshals Havn;Tide-gauge-primary;Active;57,5951;9,9625;2020-11-18 08:17:57.055;1971-11-04 00:00:00;1991-11-13 00:00:00;1971-11-04 00:00:00.000;1991-11-13 00:00:00.000
20048;Hirtshals Havn;Tide-gauge-primary;Inactive;57,5951;9,9625;2020-11-18 08:17:57.055;1971-11-04 00:00:00;1991-11-13 00:00:00;1991-11-13 00:00:00.000;n/a
20098;Frederikshavn;Tide-gauge-primary;Active;57,4358;10,5475;2020-11-18 08:17:57.055;1970-01-14 00:00:00;1991-11-14 00:00:00;1970-01-14 00:00:00.000;1991-11-14 00:00:00.000
20098;Frederikshavn;Tide-gauge-primary;Inactive;57,4358;10,5475;2020-11-18 08:17:57.055;1970-01-14 00:00:00;1991-11-14 00:00:00;1991-11-14 00:00:00.000;n/a
20101;Frederikshavn I;Tide-gauge-primary;Active;57,4358;10,5475;2020-11-18 08:17:57.055;1991-12-03 00:00:00;n/a;1991-12-03 00:00:00.000;2014-03-25 00:00:00.000
20101;Frederikshavn I;Tide-gauge-primary;Active;57,4357;10,5479;2020-11-18 08:17:57.055;1991-12-03 00:00:00;n/a;2014-03-25 00:00:00.000;n/a
20102;Frederikshavn II;Tide-gauge-secondary;Active;57,4357;10,5479;2020-11-18 08:17:57.055;2014-03-26 00:00:00;n/a;2014-03-26 00:00:00.000;n/a
20566;Hobro Havn I;Tide-gauge-primary;Active;56,6388;9,8038;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;n/a
20567;Hobro Havn II;Tide-gauge-secondary;Active;56,6388;9,8038;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;2015-09-30 00:00:00.000
20567;Hobro Havn II;Tide-gauge-secondary;Active;56,6378;9,8094;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2015-09-30 00:00:00.000;2018-04-09 00:00:00.000
20567;Hobro Havn II;Tide-gauge-secondary;Active;56,6388;9,8038;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2018-04-09 00:00:00.000;n/a
21008;Hanstholm Havn;Tide-gauge-primary;Active;57,1216;8,6015;2020-11-18 08:17:57.055;1969-01-01 00:00:00;1991-06-03 00:00:00;1969-01-01 00:00:00.000;1991-06-03 00:00:00.000
21008;Hanstholm Havn;Tide-gauge-primary;Inactive;57,1216;8,6015;2020-11-18 08:17:57.055;1969-01-01 00:00:00;1991-06-03 00:00:00;1991-06-03 00:00:00.000;n/a
21009;Hanstholm Havn I;Tide-gauge-primary;Active;57,1182;8,5943;2020-11-18 08:17:57.055;1991-11-22 00:00:00;n/a;1991-11-22 00:00:00.000;2014-06-02 00:00:00.000
21009;Hanstholm Havn I;Tide-gauge-primary;Active;57,12;8,5955;2020-11-18 08:17:57.055;1991-11-22 00:00:00;n/a;2014-06-02 00:00:00.000;n/a
21011;Hanstholm Havn II;Tide-gauge-secondary;Active;57,12;8,5955;2020-11-18 08:17:57.055;2014-06-02 00:00:00;n/a;2014-06-02 00:00:00.000;n/a
22009;Udbyhøj Havn II;Tide-gauge-secondary;Active;56,607;10,3016;2020-11-18 08:17:57.055;2011-12-28 00:00:00;n/a;2011-12-28 00:00:00.000;n/a
